input,output,smth,label,tokenized_input
010 t7 .,010 000,0 1 2,1,"[101, 5890, 2692, 1056, 2581, 1012, 102, 5890, 2692, 2199, 102, 0, 0, 0, 0, 0]"
100 t4 t2 .,100 111 100,0 1 2 3,1,"[101, 2531, 1056, 2549, 1056, 2475, 1012, 102, 2531, 11118, 2531, 102, 0, 0, 0, 0]"
010 t1 t5 .,010 101 010,0 1 2 3,1,"[101, 5890, 2692, 1056, 2487, 1056, 2629, 1012, 102, 5890, 2692, 7886, 5890, 2692, 102, 0]"
101 t5 t5 .,101 010 110,0 1 2 3,1,"[101, 7886, 1056, 2629, 1056, 2629, 1012, 102, 7886, 5890, 2692, 7287, 102, 0, 0, 0]"
011 t5 .,011 010,0 1 2,0,"[101, 5890, 2487, 1056, 2629, 1012, 102, 5890, 2487, 5890, 2692, 102, 0, 0, 0, 0]"
100 t2 t3 .,100 101 011,0 1 2 3,0,"[101, 2531, 1056, 2475, 1056, 2509, 1012, 102, 2531, 7886, 5890, 2487, 102, 0, 0, 0]"
011 t8 .,011 010,0 1 2,0,"[101, 5890, 2487, 1056, 2620, 1012, 102, 5890, 2487, 5890, 2692, 102, 0, 0, 0, 0]"
001 t5 t4 .,001 000 000,0 1 2 3,1,"[101, 25604, 1056, 2629, 1056, 2549, 1012, 102, 25604, 2199, 2199, 102, 0, 0, 0, 0]"
110 t6 t1 .,110 100 101,0 1 2 3,0,"[101, 7287, 1056, 2575, 1056, 2487, 1012, 102, 7287, 2531, 7886, 102, 0, 0, 0, 0]"
100 t1 .,100 010,0 1 2,0,"[101, 2531, 1056, 2487, 1012, 102, 2531, 5890, 2692, 102, 0, 0, 0, 0, 0, 0]"
001 t3 t6 .,001 011 001,0 1 2 3,0,"[101, 25604, 1056, 2509, 1056, 2575, 1012, 102, 25604, 5890, 2487, 25604, 102, 0, 0, 0]"
100 t4 t4 .,100 111 011,0 1 2 3,1,"[101, 2531, 1056, 2549, 1056, 2549, 1012, 102, 2531, 11118, 5890, 2487, 102, 0, 0, 0]"
110 t3 t6 .,110 001 010,0 1 2 3,1,"[101, 7287, 1056, 2509, 1056, 2575, 1012, 102, 7287, 25604, 5890, 2692, 102, 0, 0, 0]"
101 t6 t1 .,101 000 110,0 1 2 3,1,"[101, 7886, 1056, 2575, 1056, 2487, 1012, 102, 7886, 2199, 7287, 102, 0, 0, 0, 0]"
010 t6 .,010 101,0 1 2,1,"[101, 5890, 2692, 1056, 2575, 1012, 102, 5890, 2692, 7886, 102, 0, 0, 0, 0, 0]"
110 t7 .,110 101,0 1 2,1,"[101, 7287, 1056, 2581, 1012, 102, 7287, 7886, 102, 0, 0, 0, 0, 0, 0, 0]"
111 t5 t4 .,111 001 011,0 1 2 3,0,"[101, 11118, 1056, 2629, 1056, 2549, 1012, 102, 11118, 25604, 5890, 2487, 102, 0, 0, 0]"
100 t3 t4 .,100 011 101,0 1 2 3,1,"[101, 2531, 1056, 2509, 1056, 2549, 1012, 102, 2531, 5890, 2487, 7886, 102, 0, 0, 0]"
010 t3 .,010 010,0 1 2,1,"[101, 5890, 2692, 1056, 2509, 1012, 102, 5890, 2692, 5890, 2692, 102, 0, 0, 0, 0]"
100 t2 t6 .,100 110 001,0 1 2 3,1,"[101, 2531, 1056, 2475, 1056, 2575, 1012, 102, 2531, 7287, 25604, 102, 0, 0, 0, 0]"
011 t6 t6 .,011 011 001,0 1 2 3,0,"[101, 5890, 2487, 1056, 2575, 1056, 2575, 1012, 102, 5890, 2487, 5890, 2487, 25604, 102, 0]"
000 t3 t2 .,000 111 101,0 1 2 3,0,"[101, 2199, 1056, 2509, 1056, 2475, 1012, 102, 2199, 11118, 7886, 102, 0, 0, 0, 0]"
011 t4 t2 .,011 010 101,0 1 2 3,0,"[101, 5890, 2487, 1056, 2549, 1056, 2475, 1012, 102, 5890, 2487, 5890, 2692, 7886, 102, 0]"
101 t1 t1 .,101 000 101,0 1 2 3,0,"[101, 7886, 1056, 2487, 1056, 2487, 1012, 102, 7886, 2199, 7886, 102, 0, 0, 0, 0]"
111 t4 t4 .,111 001 101,0 1 2 3,0,"[101, 11118, 1056, 2549, 1056, 2549, 1012, 102, 11118, 25604, 7886, 102, 0, 0, 0, 0]"
000 t5 .,000 001,0 1 2,1,"[101, 2199, 1056, 2629, 1012, 102, 2199, 25604, 102, 0, 0, 0, 0, 0, 0, 0]"
000 t7 .,000 010,0 1 2,0,"[101, 2199, 1056, 2581, 1012, 102, 2199, 5890, 2692, 102, 0, 0, 0, 0, 0, 0]"
100 t6 t1 .,100 001 000,0 1 2 3,0,"[101, 2531, 1056, 2575, 1056, 2487, 1012, 102, 2531, 25604, 2199, 102, 0, 0, 0, 0]"
101 t3 .,101 000,0 1 2,1,"[101, 7886, 1056, 2509, 1012, 102, 7886, 2199, 102, 0, 0, 0, 0, 0, 0, 0]"
011 t4 t1 .,011 000 011,0 1 2 3,0,"[101, 5890, 2487, 1056, 2549, 1056, 2487, 1012, 102, 5890, 2487, 2199, 5890, 2487, 102, 0]"
000 t3 .,000 111,0 1 2,1,"[101, 2199, 1056, 2509, 1012, 102, 2199, 11118, 102, 0, 0, 0, 0, 0, 0, 0]"
